"GENERAL DONOVAN","CHACO"
"ISCHILIN","CÓRDOBA"
"LANGUIÑEO","CHUBUT"
"RIO SENGUER","CHUBUT"
"HURLINGHAM","BUENOS AIRES"
"CONSTITUCION","SANTA FE"
"GENERAL PEDERNERA","SAN LUIS"
"COCHINOCA","JUJUY"
"GAIMAN","CHUBUT"
"EL CUY","RÍO NEGRO"
"SALAVINA","SANTIAGO DEL ESTERO"
"MALARGUE","MENDOZA"
"MINAS","CÓRDOBA"
"IRIONDO","SANTA FE"
"LAGO ARGENTINO","SANTA CRUZ"
"COLON","BUENOS AIRES"
"BENITO JUAREZ","BUENOS AIRES"
"FEDERACION","ENTRE RÍOS"
"12 DE OCTUBRE","CHACO"
"UNION","CÓRDOBA"
"GUALEGUAY","ENTRE RÍOS"
"LA CALDERA","SALTA"
"FRAY MAMERTO ESQUIU","CATAMARCA"
"OLAVARRIA","BUENOS AIRES"
"CASTELLANOS","SANTA FE"
"CASEROS","SANTA FE"
"SANTA VICTORIA","SALTA"
"METAN","SALTA"
"LA PAZ","ENTRE RÍOS"
"CURACO","LA PAMPA"
"ROSARIO","SANTA FE"
"GENERAL BELGRANO","CHACO"
"LIBERTADOR GENERAL SAN MARTÍN","SAN LUIS"
"DESEADO","SANTA CRUZ"
"SANAGASTA","LA RIOJA"
"ALMIRANTE BROWN","BUENOS AIRES"
"FEDERAL","ENTRE RÍOS"
"JOSE C PAZ","BUENOS AIRES"
"SARMIENTO","SANTIAGO DEL ESTERO"
"ROJAS","BUENOS AIRES"
"AGUIRRE","SANTIAGO DEL ESTERO"
"CALAMUCHITA","CÓRDOBA"
"MAGALLANES","SANTA CRUZ"
"SAN CRISTOBAL","SANTA FE"
"TILCARA","JUJUY"
"CORONEL PRINGLES","SAN LUIS"
"25 DE MAYO","RÍO NEGRO"
"GENERAL BELGRANO","BUENOS AIRES"
"LAVALLE","CORRIENTES"
"MAYOR LUIS J FONTANA","CHACO"
"LAS COLONIAS","SANTA FE"
"RIO SECO","CÓRDOBA"
"LIBERTADOR GENERAL SAN MARTÍN","MISIONES"
"POCHO","CÓRDOBA"
"GENERAL SAN MARTIN","CÓRDOBA"
"GUALEGUAYCHU","ENTRE RÍOS"
"DIAMANTE","ENTRE RÍOS"
"TUMBAYA","JUJUY"
"MARCOS JUAREZ","CÓRDOBA"
"GENERAL GUEMES","CHACO"
"COLON","CÓRDOBA"
"GENERAL LOPEZ","SANTA FE"
"SAN MARTIN","SANTA FE"
"LA CANDELARIA","SALTA"
"SANTA MARÍA","CÓRDOBA"
"SAN CARLOS","MENDOZA"
"UTRACAN","LA PAMPA"
