"LA ESCONDIDA","GENERAL DONOVAN"
"QUILINO","ISCHILIN"
"CARRENLEUFU","LANGUIÑEO"
"LAGO BLANCO","RIO SENGUER"
"HURLINGHAM","HURLINGHAM"
"GODOY","CONSTITUCION"
"VILLA MERCEDES","GENERAL PEDERNERA"
"BARRANCAS","COCHINOCA"
"28 DE JULIO","GAIMAN"
"NAUPA HUEN","EL CUY"
"CHILCA JULIANA","SALAVINA"
"MALARGUE","MALARGUE"
"ESTANCIA DE GUADALUPE","MINAS"
"CORREA","IRIONDO"
"EL CHALTEN","LAGO ARGENTINO"
"COLON","COLON"
"BENITO JUAREZ","BENITO JUAREZ"
"LOS CONQUISTADORES","FEDERACION"
"GANCEDO","12 DE OCTUBRE"
"LABORDE","UNION"
"GENERAL GALARZA","GUALEGUAY"
"LA CALDERA","LA CALDERA"
"FRAY MAMERTO ESQUIU","FRAY MAMERTO ESQUIU"
"OLAVARRIA","OLAVARRIA"
"COLONIA ITURRASPE","CASTELLANOS"
"AREQUITO","CASEROS"
"SANTA VICTORIA OESTE","SANTA VICTORIA"
"RIO PIEDRAS","METAN"
"SAN RAMIREZ","LA PAZ"
"PUELCHES","CURACO"
"GENERAL LAGOS","ROSARIO"
"CORZUELA","GENERAL BELGRANO"
"LAS AGUADAS","LIBERTADOR GENERAL SAN MARTÍN"
"CAÑADON SECO","DESEADO"
"SANAGASTA","SANAGASTA"
"ALMIRANTE BROWN","ALMIRANTE BROWN"
"BELL VILLE","UNION"
"CALETA OLIVIA","DESEADO"
"NUEVA VIZCAYA","FEDERAL"
"JOSE C PAZ","JOSE C PAZ"
"GARZA","SARMIENTO"
"ROJAS","ROJAS"
"PINTO","AGUIRRE"
"AMBOY","CALAMUCHITA"
"AREA SIN GOBIERNO","MAGALLANES"
"SUARDI","SAN CRISTOBAL"
"HUACALERA","TILCARA"
"LA TOMA","CORONEL PRINGLES"
"MAQUINCHAO","25 DE MAYO"
"GENERAL BELGRANO","GENERAL BELGRANO"
"LAVALLE","LAVALLE"
"ENRIQUE URIEN","MAYOR LUIS J FONTANA"
"SANTA CLARA DE BUENA VISTA","LAS COLONIAS"
"AREA SIN GOBIERNO","RIO SECO"
"GARUHAPE","LIBERTADOR GENERAL SAN MARTÍN"
"SALSACATE","POCHO"
"AREA SIN GOBIERNO","UNION"
"LUCA","GENERAL SAN MARTIN"
"ENRIQUE CARBO","GUALEGUAYCHU"
"EL CARMEN - ESTACION RACEDO","DIAMANTE"
"TUMBAYA","TUMBAYA"
"LEONES","MARCOS JUAREZ"
"MIRAFLORES","GENERAL GUEMES"
"COLONIA TIROLESA","COLON"
"LAS AVISPAS","SAN CRISTOBAL"
"LABORDEBOY","GENERAL LOPEZ"
"GENERAL GELLY","CONSTITUCION"
"EL TREBOL","SAN MARTIN"
"EL JARDIN","LA CANDELARIA"
"LOZADA","SANTA MARÍA"
"SALSIPUEDES","COLON"
"SAN CARLOS","SAN CARLOS"
"AREA SIN GOBIERNO","GAIMAN"
"SANTA TERESA","CONSTITUCION"
"CHACHARRAMENDI","UTRACAN"
"SAN MARTIN","SAN MARTIN"
"CHOLILA","CUSHAMEN"
"LA PUERTA","RIO PRIMERO"
"LA CUMBRE","PUNILLA"
"LOS RALOS","CRUZ ALTA"
"SUIPACHA","SUIPACHA"
"LANTERI","GENERAL OBLIGADO"
"CAFAYATE","CAFAYATE"
"ALTA ITALIA","REALICO"
"CAMPO GALLO","ALBERDI"
"AREA SIN GOBIERNO","VALCHETA"
"FORMOSA","FORMOSA"
"LOBERIA","LOBERIA"
"VILLA VIL","BELEN"
